Year,Property_Value,Home_Equity,Rental_Wealth
1,500000.0,104470.90187584009,107000.0
2,525000.0,134241.22833042673,114490.0
3,551250.0,165581.03238233383,122504.3
4,578812.5000000001,198574.2100379272,131079.60100000002
5,607753.1250000001,233309.21523374447,140255.17307000005
6,638140.7812500002,269879.31205248256,150073.03518490007
7,670047.8203125002,308382.8411785046,160578.14764784308
8,703550.2113281252,348923.5014139221,171818.61798319212
9,738727.7218945315,391610.64712466294,183845.92124201558
10,775664.1079892581,436559.6025372036,196715.1357289567
11,814447.313388721,483891.9938609932,210485.19522998368
12,855169.6790581571,533736.1002692223,225219.15889608255
13,897928.163011065,586227.2248316873,240984.50001880835
14,942824.5711616183,641508.0865582948,257853.41502012496
15,989965.7997196993,699729.2347804528,275903.1540715337
16,1039464.0897056843,761049.4871704574,295216.3748565411
17,1091437.2941909684,825636.3927762627,315881.521096499
18,1146009.158900517,893666.7215309807,337993.227573254
19,1203309.6168455428,965326.9817833902,361652.7535033818
20,1263475.0976878202,1040813.9674879672,386968.44624861854
21,1326648.852572211,1120335.336790752,414056.2374860219
22,1392981.2952008217,1204110.2238511797,443040.17411004344
23,1462630.359960863,1292369.8858500884,474052.98629774654
24,1535761.877958906,1385358.3872509594,507236.69533858885
25,1612549.9718568514,1483333.3235054037,542743.26401229
26,1693177.4704496942,1586566.586525446,580735.2924931503
27,1777836.3439721789,1695345.1743847532,621386.7629676709
28,1866728.1611707879,1809972.0478590939,664883.8363754079
29,1960064.5692293274,1930767.0365735407,711425.7049216864
30,2058067.797690794,2058067.797690794,761225.5042662045
