year,property_value,yearly_mortgage,property_tax,maintenance,insurance,interest_paid,principal_paid,remaining_loan,equity,yearly_costs,total_interest_to_date,total_principal_to_date,investment_portfolio,investment_returns,new_investments,yearly_utilities
1,500000.0,30339.265127662333,6000.0,5000.0,2448.0,25868.363251822317,4470.901875840019,395529.0981241599,104470.90187584009,47387.26512766234,25868.363251822317,4470.901875840019,0.0,0.0,0.0,3600.0
2,525000.0,30339.265127662333,6300.0,5250.0,2496.96,25568.93867307566,4770.326454586675,390758.77166957327,134241.22833042673,48058.225127662336,51437.301924897976,9241.228330426693,0.0,0.0,0.0,3672.0
3,551250.0,30339.265127662333,6615.0,5512.5,2546.8992000000003,25249.461075755262,5089.804051907073,385668.9676176662,165581.03238233383,48759.10432766234,76686.76300065324,14331.032382333766,0.0,0.0,0.0,3745.44
4,578812.5000000001,30339.265127662333,6945.750000000002,5788.125000000001,2597.8371840000004,24908.58747206899,5430.677655593338,380238.2899620729,198574.2100379272,49491.32611166234,101595.35047272223,19761.710037927103,0.0,0.0,0.0,3820.3488000000007
5,607753.1250000001,30339.265127662333,7293.037500000001,6077.531250000001,2649.7939276800007,24544.884931845078,5794.380195817254,374443.90976625565,233309.21523374447,50256.383581342336,126140.23540456731,25556.09023374436,0.0,0.0,0.0,3896.755776
6,638140.7812500002,30339.265127662333,7657.689375000003,6381.407812500002,2702.7898062336008,24156.824558924334,6182.440568737998,368261.46919751767,269879.31205248256,51055.84301291594,150297.05996349166,31738.530802482357,0.0,0.0,0.0,3974.69089152
7,670047.8203125002,30339.265127662333,8040.573843750003,6700.478203125002,2756.845602358273,23742.77506414029,6596.490063522042,361664.97913399566,308382.8411785046,51891.34748624601,174039.83502763195,38335.0208660044,0.0,0.0,0.0,4054.1847093504
8,703550.2113281252,30339.265127662333,8442.602535937503,7035.502113281253,2811.9825144054385,23300.99590786984,7038.269219792492,354626.7099142031,348923.5014139221,52764.62069482394,197340.83093550178,45373.29008579689,0.0,0.0,0.0,4135.268403537408
9,738727.7218945315,30339.265127662333,8864.73266273438,7387.277218945315,2868.2221646935473,22829.62998332784,7509.635144334494,347117.0747698686,391610.64712466294,53677.470945643734,220170.46091882963,52882.92523013138,0.0,0.0,0.0,4217.973771608157
10,775664.1079892581,30339.265127662333,9307.969295871098,7756.641079892582,2925.586607987418,22326.695809848363,8012.569317813972,339104.50545205455,436559.6025372036,54631.795358453746,242497.156728678,60895.49454794535,0.0,0.0,0.0,4302.333247040319
11,814447.313388721,30339.265127662333,9773.367760664652,8144.47313388721,2984.0983401471667,21790.079203335594,8549.185924326735,330555.3195277278,483891.9938609932,55629.58427434249,264287.2359320136,69444.68047227208,0.0,0.0,0.0,4388.3799119811265
12,855169.6790581571,30339.265127662333,10262.036148697885,8551.69679058157,3043.78030695011,21217.524388869355,9121.740738792978,321433.57878893486,533736.1002692223,56672.92588411264,285504.76032088295,78566.42121106506,0.0,0.0,0.0,4476.147510220749
13,897928.163011065,30339.265127662333,10775.13795613278,8979.28163011065,3104.6559130891123,20606.62451810534,9732.640609556993,311700.93817937776,586227.2248316873,57764.01108742004,306111.3848389883,88299.06182062205,0.0,0.0,0.0,4565.670460425164
14,942824.5711616183,30339.265127662333,11313.89485393942,9428.245711616184,3166.7490313508947,19954.811551608127,10384.453576054202,301316.4846033235,641508.0865582948,58905.1385942025,326066.19639059645,98683.51539667626,0.0,0.0,0.0,4656.983869633668
15,989965.7997196993,30339.265127662333,11879.589596636391,9899.657997196993,3230.0840119779127,19259.34546358534,11079.919664076991,290236.5649392465,699729.2347804528,60098.72028049997,345325.5418541818,109763.43506075325,0.0,0.0,0.0,4750.123547026341
16,1039464.0897056843,30339.265127662333,12473.569076468213,10394.640897056843,3294.685692217471,18517.302723642708,11821.962404019629,278414.6025352269,761049.4871704574,61347.28681137173,363842.8445778245,121585.39746477289,0.0,0.0,0.0,4845.126017966868
17,1091437.2941909684,30339.265127662333,13097.247530291621,10914.372941909684,3360.5794060618205,17725.564007141063,12613.70112052127,265800.9014147056,825636.3927762627,62653.49354425166,381568.40858496557,134199.09858529415,0.0,0.0,0.0,4942.028538326204
18,1146009.158900517,30339.265127662333,13752.109906806205,11460.091589005171,3427.790994183057,16880.801082493195,13458.464045169141,252342.43736953643,893666.7215309807,64020.1267267495,398449.2096674588,147657.5626304633,0.0,0.0,0.0,5040.86910909273
19,1203309.6168455428,30339.265127662333,14439.715402146514,12033.096168455428,3496.3468140667183,15979.462820278563,14359.802307383765,237982.63506215267,965326.9817833902,65450.11000360557,414428.6724877373,162017.36493784707,0.0,0.0,0.0,5141.686491274584
