year,yearly_rent,rent_insurance,investment_portfolio,investment_returns,new_investments,net_wealth,yearly_costs,yearly_utilities
1,30900.0,306.0,107000.0,7000.000000000001,0.0,107000.0,34806.0,3600.0
2,31827.0,312.12,114490.0,7490.000000000001,0.0,114490.0,35811.119999999995,3672.0
3,32781.81,318.36240000000004,122504.3,8014.300000000001,0.0,122504.3,36845.6124,3745.44
4,33765.2643,324.72964800000005,131079.60100000002,8575.301000000001,0.0,131079.60100000002,37910.342748,3820.3488000000007
5,34778.222229,331.2242409600001,140255.17307000005,9175.572070000002,0.0,140255.17307000005,39006.20224596,3896.755776
6,35821.56889587,337.8487257792001,150073.03518490007,9817.862114900005,0.0,150073.03518490007,40134.108513169194,3974.69089152
7,36896.2159627461,344.6057002947841,160578.14764784308,10505.112462943007,0.0,160578.14764784308,41295.00637239129,4054.1847093504
8,38003.102441628485,351.4978143006798,171818.61798319212,11240.470335349017,0.0,171818.61798319212,42489.86865946658,4135.268403537408
9,39143.19551487734,358.5277705866934,183845.92124201558,12027.30325882345,0.0,183845.92124201558,43719.69705707219,4217.973771608157
10,40317.491380323656,365.69832599842726,196715.1357289567,12869.214486941091,0.0,196715.1357289567,44985.5229533624,4302.333247040319
11,41527.016121733366,373.01229251839584,210485.19522998368,13770.05950102697,0.0,210485.19522998368,46288.40832623289,4388.3799119811265
12,42772.82660538537,380.47253836876376,225219.15889608255,14733.96366609886,0.0,225219.15889608255,47629.44665397488,4476.147510220749
13,44056.01140354693,388.08198913613904,240984.50001880835,15765.34112272578,0.0,240984.50001880835,49009.763853108234,4565.670460425164
14,45377.69174565334,395.84362891886184,257853.41502012496,16868.915001316585,0.0,257853.41502012496,50430.51924420587,4656.983869633668
15,46739.02249802295,403.7605014972391,275903.1540715337,18049.73905140875,0.0,275903.1540715337,51892.906546546525,4750.123547026341
16,48141.19317296364,411.8357115271839,295216.3748565411,19313.22078500736,0.0,295216.3748565411,53398.154902457696,4845.126017966868
17,49585.428968152555,420.07242575772756,315881.521096499,20665.14623995788,0.0,315881.521096499,54947.52993223648,4942.028538326204
18,51072.99183719713,428.47387427288214,337993.227573254,22111.70647675493,0.0,337993.227573254,56542.33482056274,5040.86910909273
19,52605.18159231305,437.0433517583398,361652.7535033818,23659.52593012778,0.0,361652.7535033818,58183.91143534597,5141.686491274584
20,54183.33704008245,445.78421879350657,386968.44624861854,25315.692745236727,0.0,386968.44624861854,59873.64147997603,5244.520221100075
21,55808.837151284926,454.6999031693767,414056.2374860219,27087.7912374033,0.0,414056.2374860219,61612.94767997638,5349.410625522078
22,57483.10226582348,463.7939012327642,443040.17411004344,28983.936624021535,0.0,443040.17411004344,63403.29500508876,5456.398838032519
23,59207.59533379819,473.0697792574195,474052.98629774654,31012.812187703043,0.0,474052.98629774654,65246.191927848784,5565.526814793169
24,60983.82319381213,482.5311748425679,507236.69533858885,33183.70904084226,0.0,507236.69533858885,67143.19171974373,5676.837351089033
25,62813.337889626506,492.1817983394193,542743.26401229,35506.56867370122,0.0,542743.26401229,69095.89378607675,5790.374098110814
26,64697.7380263153,502.02543430620767,580735.2924931503,37992.02848086031,0.0,580735.2924931503,71105.94504069454,5906.181580073031
27,66638.67016710476,512.0659429923319,621386.7629676709,40651.47047452053,0.0,621386.7629676709,73175.04132177158,6024.305211674491
28,68637.8302721179,522.3072618521785,664883.8363754079,43497.07340773697,0.0,664883.8363754079,75304.92884987807,6144.791315907982
29,70696.96518028143,532.753407089222,711425.7049216864,46541.86854627856,0.0,711425.7049216864,77497.40572959681,6267.687142226141
30,72817.87413568988,543.4084752310065,761225.5042662045,49799.799344518055,0.0,761225.5042662045,79754.32349599154,6393.040885070664
