Year,Property_Value,Yearly_Mortgage,Property_Tax,Maintenance,Insurance,Interest_Paid,Principal_Paid,Remaining_Loan,Equity,Yearly_Costs,Total_Interest_To_Date,Total_Principal_To_Date,Investment_Portfolio,Investment_Returns,New_Investments,Yearly_Utilities
1,500000.0,30339.265127662333,6000.0,5000.0,2448.0,25868.363251822317,4470.901875840019,395529.0981241599,104470.90187584009,47387.26512766234,25868.363251822317,4470.901875840019,0.0,0.0,0.0,3600.0
2,515000.0,30339.265127662333,6180.0,5150.0,2496.96,25568.93867307566,4770.326454586675,390758.77166957327,124241.22833042673,47802.225127662336,51437.301924897976,9241.228330426693,0.0,0.0,0.0,3636.0
3,530450.0,30339.265127662333,6365.400000000001,5304.5,2546.8992000000003,25249.461075755262,5089.804051907073,385668.9676176662,144781.03238233383,48228.78432766233,76686.76300065324,14331.032382333766,0.0,0.0,0.0,3672.7199999999993
4,546363.5,30339.265127662333,6556.362,5463.635,2597.8371840000004,24908.58747206899,5430.677655593338,380238.2899620729,166125.21003792709,48667.27371166234,101595.35047272223,19761.710037927103,0.0,0.0,0.0,3710.174400000001
5,562754.405,30339.265127662333,6753.052860000001,5627.54405,2649.7939276800007,24544.884931845078,5794.380195817254,374443.90976625565,188310.49523374438,49118.033853342335,126140.23540456731,25556.09023374436,0.0,0.0,0.0,3748.377888
6,579637.03715,30339.265127662333,6955.6444458,5796.3703715,2702.7898062336008,24156.824558924334,6182.440568737998,368261.46919751767,211375.56795248232,49581.41519695594,150297.05996349166,31738.530802482357,0.0,0.0,0.0,3787.34544576
7,597026.1482645001,30339.265127662333,7164.313779174001,5970.261482645001,2756.845602358273,23742.77506414029,6596.490063522042,361664.97913399566,235361.16913050442,50057.77834651481,174039.83502763195,38335.0208660044,0.0,0.0,0.0,3827.0923546752
8,614936.9327124351,30339.265127662333,7379.243192549222,6149.369327124352,2811.9825144054385,23300.99590786984,7038.269219792492,354626.7099142031,260310.22279823205,50547.49436351006,197340.83093550178,45373.29008579689,0.0,0.0,0.0,3867.634201768704
9,633385.0406938082,30339.265127662333,7600.620488325699,6333.850406938082,2868.2221646935473,22829.62998332784,7509.635144334494,347117.0747698686,286267.96592393966,51050.94507342374,220170.46091882963,52882.92523013138,0.0,0.0,0.0,3908.986885804078
10,652386.5919146225,30339.265127662333,7828.6391029754695,6523.865919146225,2925.586607987418,22326.695809848363,8012.569317813972,339104.50545205455,313282.0864625679,51568.52338129161,242497.156728678,60895.49454794535,0.0,0.0,0.0,3951.16662352016
11,671958.1896720611,30339.265127662333,8063.498276064734,6719.581896720611,2984.0983401471667,21790.079203335594,8549.185924326735,330555.3195277278,341402.87014433334,52100.633596585416,264287.2359320136,69444.68047227208,0.0,0.0,0.0,3994.1899559905632
12,692116.935362223,30339.265127662333,8305.403224346675,6921.16935362223,3043.78030695011,21217.524388869355,9121.740738792978,321433.57878893486,370683.3565732881,52647.69176769172,285504.76032088295,78566.42121106506,0.0,0.0,0.0,4038.0737551103743
13,712880.4434230897,30339.265127662333,8554.565321077076,7128.804434230897,3104.6559130891123,20606.62451810534,9732.640609556993,311700.93817937776,401179.50524371193,53210.126026272,306111.3848389883,88299.06182062205,0.0,0.0,0.0,4082.8352302125822
14,734266.8567257824,30339.265127662333,8811.202280709389,7342.668567257824,3166.7490313508947,19954.811551608127,10384.453576054202,301316.4846033235,432950.3721224589,53788.37694179728,326066.19639059645,98683.51539667626,0.0,0.0,0.0,4128.491934816833
15,756294.862427556,30339.265127662333,9075.538349130671,7562.948624275559,3230.0840119779127,19259.34546358534,11079.919664076991,290236.5649392465,466058.29748830944,54382.897886559644,345325.5418541818,109763.43506075325,0.0,0.0,0.0,4175.06177351317
16,778983.7083003826,30339.265127662333,9347.804499604592,7789.837083003826,3294.685692217471,18517.302723642708,11821.962404019629,278414.6025352269,500569.1057651557,54994.15541147166,363842.8445778245,121585.39746477289,0.0,0.0,0.0,4222.563008983434
17,802353.2195493941,30339.265127662333,9628.23863459273,8023.532195493941,3360.5794060618205,17725.564007141063,12613.70112052127,265800.9014147056,536552.3181346885,55622.62963297393,381568.40858496557,134199.09858529415,0.0,0.0,0.0,4271.014269163103
18,826423.8161358759,30339.265127662333,9917.085793630511,8264.238161358759,3427.790994183057,16880.801082493195,13458.464045169141,252342.43736953643,574081.3787663395,56268.81463138103,398449.2096674588,147657.5626304633,0.0,0.0,0.0,4320.434554546364
19,851216.5306199522,30339.265127662333,10214.598367439427,8512.165306199522,3496.3468140667183,15979.462820278563,14359.802307383765,237982.63506215267,613233.8955577996,56933.21886100529,414428.6724877373,162017.36493784707,0.0,0.0,0.0,4370.843245637292
20,876753.0265385509,30339.265127662333,10521.036318462611,8767.530265385509,3566.2737503480525,15017.760265362673,15321.504862299662,222661.13019985298,654091.8963386979,57616.36557240854,429446.4327531,177338.86980014673,0.0,0.0,0.0,4422.260110550038
21,903055.6173347074,30339.265127662333,10836.667408016488,9030.556173347075,3637.5992253550135,13991.650709268484,16347.614418393849,206313.51578145914,696742.1015532482,58318.79324714195,443438.08346236846,193686.48421854057,0.0,0.0,0.0,4474.705312761038
22,930147.2858547486,30339.265127662333,11161.767430256983,9301.472858547486,3710.3512098621136,12896.820695845157,17442.444431817174,188871.071349642,741276.2145051066,59041.056045345176,456334.90415821364,211128.92865035776,0.0,0.0,0.0,4528.199419016259
23,958051.7044303911,30339.265127662333,11496.620453164693,9580.517044303911,3784.558234059356,11728.66788879491,18610.597238867424,170260.47411077455,787791.2303196165,59783.72426658687,468063.57204700855,229739.5258892252,0.0,0.0,0.0,4582.763407396584
24,986793.2555633029,30339.265127662333,11841.519066759634,9867.93255563303,3860.2493987405433,10482.281724834524,19856.98340282781,150403.4907079467,836389.7648553562,60547.384824340064,478545.8537718431,249596.509292053,0.0,0.0,0.0,4638.418675544517
25,1016397.0532302021,30339.265127662333,12196.764638762425,10163.97053230202,3937.4543867153543,9152.42277116337,21186.842356498968,129216.64835144771,887180.4048787544,61332.64173449754,487698.2765430064,270783.351648552,0.0,0.0,0.0,4695.187049055407
26,1046888.9648271081,30339.265127662333,12562.667577925296,10468.88964827108,4016.2034744496614,7733.500700462693,22605.764427199643,106610.88392424809,940278.08090286,62140.11661834488,495431.7772434691,293389.11607575166,0.0,0.0,0.0,4753.090790036515
27,1078295.6337719213,30339.265127662333,12939.547605263055,10782.956337719213,4096.527543938655,6219.550790839909,24119.71433682242,82491.16958742565,995804.4641844956,62970.4492204205,501651.328034309,317508.8304125741,0.0,0.0,0.0,4812.152605837246
28,1110644.5027850792,30339.265127662333,13327.734033420951,11106.445027850792,4178.458094817428,4604.2088519306035,25735.056275731728,56756.11331169394,1053888.3894733852,63824.29794170549,506255.5368862396,343243.8866883058,0.0,0.0,0.0,4872.395657953991
29,1143963.8378686314,30339.265127662333,13727.566054423576,11439.638378686313,4262.027256713776,2880.684471755162,27458.580655907175,29297.53265578677,1114666.3052128446,64702.34038859907,509136.2213579948,370702.467344213,0.0,0.0,0.0,4933.8435711130705
30,1178282.7530046904,30339.265127662333,14139.393036056284,11782.827530046905,4347.267801848052,1041.732471867834,29297.5326557945,0.0,1178282.7530046904,65605.27393814891,510177.9538298626,400000.0000000075,0.0,0.0,0.0,4996.520442535332
