Year,Yearly_Rent,Rent_Insurance,Investment_Portfolio,Investment_Returns,New_Investments,Net_Wealth,Yearly_Costs,Yearly_Utilities
1,30660.0,306.0,107000.0,7000.000000000001,0.0,107000.0,34566.0,3600.0
2,31334.52,312.12,114490.0,7490.000000000001,0.0,114490.0,35318.64,3672.0
3,32023.879440000004,318.36240000000004,122504.3,8014.300000000001,0.0,122504.3,36087.681840000005,3745.44
4,32728.404787680003,324.72964800000005,131079.60100000002,8575.301000000001,0.0,131079.60100000002,36873.48323568,3820.3488000000007
5,33448.42969300897,331.2242409600001,140255.17307000005,9175.572070000002,0.0,140255.17307000005,37676.40970996897,3896.755776
6,34184.295146255165,337.8487257792001,150073.03518490007,9817.862114900005,0.0,150073.03518490007,38496.83476355436,3974.69089152
7,34936.349639472784,344.6057002947841,160578.14764784308,10505.112462943007,0.0,160578.14764784308,39335.14004911797,4054.1847093504
8,35704.94933154118,351.4978143006798,171818.61798319212,11240.470335349017,0.0,171818.61798319212,40191.71554937927,4135.268403537408
9,36490.45821683508,358.5277705866934,183845.92124201558,12027.30325882345,0.0,183845.92124201558,41066.95975902993,4217.973771608157
10,37293.24829760545,365.69832599842726,196715.1357289567,12869.214486941091,0.0,196715.1357289567,41961.2798706442,4302.333247040319
11,38113.69976015278,373.01229251839584,210485.19522998368,13770.05950102697,0.0,210485.19522998368,42875.091964652296,4388.3799119811265
12,38952.20115487614,380.47253836876376,225219.15889608255,14733.96366609886,0.0,225219.15889608255,43808.821203465646,4476.147510220749
13,39809.14958028341,388.08198913613904,240984.50001880835,15765.34112272578,0.0,240984.50001880835,44762.902029844714,4565.670460425164
14,40684.95087104965,395.84362891886184,257853.41502012496,16868.915001316585,0.0,257853.41502012496,45737.77836960218,4656.983869633668
15,41580.01979021274,403.7605014972391,275903.1540715337,18049.73905140875,0.0,275903.1540715337,46733.90383873632,4750.123547026341
16,42494.780225597424,411.8357115271839,295216.3748565411,19313.22078500736,0.0,295216.3748565411,47751.74195509148,4845.126017966868
17,43429.66539056058,420.07242575772756,315881.521096499,20665.14623995788,0.0,315881.521096499,48791.766354644504,4942.028538326204
18,44385.1180291529,428.47387427288214,337993.227573254,22111.70647675493,0.0,337993.227573254,49854.46101251851,5040.86910909273
19,45361.59062579427,437.0433517583398,361652.7535033818,23659.52593012778,0.0,361652.7535033818,50940.320468827194,5141.686491274584
20,46359.545619561744,445.78421879350657,386968.44624861854,25315.692745236727,0.0,386968.44624861854,52049.850059455326,5244.520221100075
21,47379.4556231921,454.6999031693767,414056.2374860219,27087.7912374033,0.0,414056.2374860219,53183.566151883555,5349.410625522078
22,48421.803646902335,463.7939012327642,443040.17411004344,28983.936624021535,0.0,443040.17411004344,54341.996386167615,5456.398838032519
23,49487.08332713418,473.0697792574195,474052.98629774654,31012.812187703043,0.0,474052.98629774654,55525.679921184776,5565.526814793169
24,50575.79916033114,482.5311748425679,507236.69533858885,33183.70904084226,0.0,507236.69533858885,56735.167686262736,5676.837351089033
25,51688.466741858414,492.1817983394193,542743.26401229,35506.56867370122,0.0,542743.26401229,57971.02263830865,5790.374098110814
26,52825.613010179295,502.02543430620767,580735.2924931503,37992.02848086031,0.0,580735.2924931503,59233.82002455853,5906.181580073031
27,53987.77649640324,512.0659429923319,621386.7629676709,40651.47047452053,0.0,621386.7629676709,60524.14765107006,6024.305211674491
28,55175.50757932411,522.3072618521785,664883.8363754079,43497.07340773697,0.0,664883.8363754079,61842.60615708427,6144.791315907982
29,56389.368746069245,532.753407089222,711425.7049216864,46541.86854627856,0.0,711425.7049216864,63189.809295384606,6267.687142226141
30,57629.93485848277,543.4084752310065,761225.5042662045,49799.799344518055,0.0,761225.5042662045,64566.38421878444,6393.040885070664
